k,1e-09_sc_low,1e-09_sc_upp,1e-09_hf_low,1e-09_hf_upp
0,0.9654833726942053,1.0,0.8843053236490914,1.0
1,0.9612891386499395,0.9999999999999992,0.8830553236490915,1.0
2,0.9576531133083004,0.9999999986015827,0.8818053236490915,1.0
3,0.9544530494713184,0.9999998055472766,0.8805553236490914,1.0
4,0.9513431174932936,0.9999975344217863,0.8793053236490914,1.0
5,0.948528829301191,0.9999881507237319,0.8780553236490914,1.0
6,0.9458126020046557,0.9999651511304025,0.8768053236490915,1.0
7,0.9430786356185393,0.9999228499974004,0.8755553236490914,1.0
8,0.9405746630189755,0.9998572941053082,0.8743053236490914,1.0
9,0.9380958345475909,0.9997661953213761,0.8730553236490914,1.0
10,0.9356333078690755,0.9996485372906612,0.8718053236490915,1.0
11,0.93324939250957,0.9995041750025832,0.8705553236490914,1.0
12,0.9309516438057622,0.9993335214288159,0.8693053236490914,1.0
13,0.9286224316620145,0.9991373264021116,0.8680553236490914,1.0
14,0.9263510917350735,0.9989165283545925,0.8668053236490915,1.0
15,0.924162313322801,0.9986721578589434,0.8655553236490914,1.0
16,0.9220148038593222,0.9984052762884922,0.8643053236490914,1.0
17,0.9197562561443615,0.9981169377254813,0.8630553236490914,1.0
18,0.9176444465008626,0.997808166059323,0.8618053236490915,1.0
19,0.9155659572191709,0.9974799419235518,0.8605553236490914,1.0
20,0.9134689407451002,0.9971331959536296,0.8593053236490914,1.0
21,0.9114257830132617,0.9967688060631409,0.8580553236490914,1.0
22,0.9093822058379676,0.9963875972342332,0.8568053236490915,1.0
23,0.9073576162107455,0.9959903428410023,0.8555553236490914,1.0
24,0.9053507964729416,0.9955777668671014,0.8543053236490914,1.0
25,0.9033609383523965,0.9951505466036922,0.8530553236490914,1.0
26,0.9013870286128642,0.9947093155617487,0.8518053236490915,1.0
27,0.8993716289679616,0.9942546664301483,0.8505553236490915,1.0
28,0.8974806661073216,0.9937871539751899,0.8493053236490914,1.0
29,0.8955499389024925,0.9933072978194352,0.8480553236490914,1.0
30,0.8937079029529921,0.9928155850654515,0.8468053236490914,1.0
31,0.8917516224872067,0.9923124727480609,0.8455553236490915,1.0
32,0.8899070810285821,0.9917983901102329,0.8443053236490914,1.0
33,0.8879157662565154,0.9912737407050313,0.8430553236490914,1.0
34,0.8860927667674193,0.9907389043303934,0.8418053236490914,1.0
35,0.8841871675979265,0.9901942388060453,0.8405553236490915,1.0
36,0.8824026593524802,0.9896400816030757,0.8393053236490914,1.0
37,0.8804941512607735,0.9890767513371503,0.8380553236490914,1.0
38,0.8787158793957217,0.9885045491362735,0.8368053236490914,1.0
39,0.8768349583601162,0.9879237598936081,0.8355553236490915,1.0
40,0.8750479994150898,0.9873346534153045,0.8343053236490914,1.0
41,0.8732433051090127,0.9867374854726056,0.8330553236490914,1.0
42,0.8714128699138967,0.9861324987668159,0.8318053236490914,1.0
43,0.8696760537506856,0.9855199238149879,0.8305553236490915,1.0
44,0.86789853417069,0.9848999797635194,0.8293053236490914,1.0
45,0.8661254132600149,0.9842728751361951,0.8280553236490914,1.0
46,0.8643595446540858,0.983638808522614,0.8268053236490914,1.0
47,0.862600718304297,0.9829979692123553,0.8255553236490915,1.0
48,0.8608487346989169,0.9823505377797797,0.8243053236490914,1.0
49,0.859103404132866,0.9816966866238379,0.8230553236490914,1.0
50,0.8573645460415491,0.9810365804668726,0.8218053236490914,1.0
51,0.8556319883919827,0.9803703768160065,0.8205553236490915,1.0
52,0.8539055671253138,0.9796982263903677,0.8193053236490915,1.0
53,0.8521851256454858,0.9790202735170832,0.8180553236490914,1.0
54,0.8504705143494955,0.9783366564987074,0.8168053236490914,1.0
55,0.8487615901951194,0.9776475079544782,0.8155553236490914,1.0
56,0.8470582163025415,0.9769529551375995,0.8143053236490915,1.0
57,0.8453602615866923,0.9762531202305126,0.8130553236490914,1.0
58,0.8436676004174188,0.975548120619948,0.8118053236490914,1.0
59,0.8419801123049525,0.9748380691533964,0.8105553236490914,1.0
60,0.8402976816084384,0.9741230743784749,0.8093053236490915,1.0
61,0.8386201972654265,0.9734032407665247,0.8080553236490914,1.0
62,0.8369475525405657,0.9726786689216891,0.8068053236490914,1.0
63,0.835279644791835,0.9719494557765649,0.8055553236490914,1.0
64,0.8336163752528197,0.9712156947754605,0.8043053236490915,1.0
65,0.8319576488297156,0.9704774760461921,0.8030553236490914,1.0
66,0.830303373911877,0.9697348865612683,0.8018053236490914,1.0
67,0.8286534621947893,0.9689880102892353,0.8005553236490914,1.0
68,0.8270078285144874,0.968236928336905,0.7993053236490915,1.0
69,0.8253663906925555,0.9674817190831202,0.7980553236490914,1.0
70,0.8237290693908348,0.9667224583046451,0.7968053236490914,1.0
71,0.8220957879751777,0.9659592192947548,0.7955553236490914,1.0
72,0.8204664723874867,0.9651920729750016,0.7943053236490915,1.0
73,0.8188410510255085,0.9644210880006568,0.7930553236490914,1.0
74,0.8172194546297502,0.9636463308602273,0.7918053236490914,1.0
75,0.8156016161770533,0.9628678659694669,0.7905553236490914,1.0
76,0.8139874707803111,0.9620857557602315,0.7893053236490915,1.0
77,0.8123769555939486,0.9613000607645303,0.7880553236490915,1.0
78,0.8107700097247106,0.9605108396940675,0.7868053236490914,1.0
79,0.8091665741474583,0.959718149515582,0.7855553236490914,1.0
80,0.807566591625557,0.9589220455222309,0.7843053236490914,1.0
81,0.8059700066356297,0.9581225814012936,0.7830553236490915,1.0
82,0.8043767652963473,0.9573198092983941,0.7818053236490914,1.0
83,0.8027868153009827,0.9565137798784733,0.7805553236490914,1.0
84,0.8012001058535184,0.9557045423837095,0.7793053236490914,1.0
85,0.7996165876080609,0.9548921446885633,0.7780553236490915,1.0
86,0.7980362126113554,0.9540766333521215,0.7768053236490914,1.0
87,0.796458934248227,0.9532580536679026,0.7755553236490914,1.0
88,0.7948847071897346,0.9524364497112627,0.7743053236490914,1.0
89,0.7933134873439102,0.9516118643845545,0.7730553236490915,1.0
90,0.7917452318089081,0.9507843394601532,0.7718053236490914,1.0
91,0.7901798988284031,0.9499539156214781,0.7705553236490914,1.0
92,0.7886174477491574,0.9491206325021311,0.7693053236490914,1.0
93,0.7870578389805872,0.9482845287232319,0.7680553236490915,0.9994446763509086
94,0.7855010339562156,0.9474456419290711,0.7668053236490914,0.9981946763509085
95,0.7839469950969208,0.9466040088211697,0.7655553236490914,0.9969446763509086
96,0.7823956857758887,0.945759665190825,0.7643053236490914,0.9956946763509086
97,0.780847070285129,0.9449126459502183,0.7630553236490915,0.9944446763509086
98,0.7793011138035292,0.9440629851621835,0.7618053236490914,0.9931946763509085
99,0.7777577823663078,0.9432107160686768,0.7605553236490914,0.9919446763509085
100,0.776217042835827,0.9423558711180411,0.7593053236490914,0.9906946763509086
101,0.774678862873691,0.9414984819911116,0.7580553236490915,0.9894446763509086
102,0.7731432109140121,0.9406385796262207,0.7568053236490915,0.9881946763509086
103,0.7716100561378721,0.939776194243182,0.7555553236490914,0.9869446763509085
104,0.7700793684488331,0.9389113553662635,0.7543053236490914,0.9856946763509086
105,0.7685511184494913,0.9380440918462385,0.7530553236490914,0.9844446763509086
106,0.7670252774190038,0.9371744318815382,0.7518053236490915,0.9831946763509086
107,0.7655018172915345,0.9363024030385563,0.7505553236490914,0.9819446763509085
108,0.7639807106355941,0.9354280322711519,0.7493053236490914,0.9806946763509086
109,0.7624619306342199,0.9345513459393755,0.7480553236490914,0.9794446763509086
110,0.7609454510659207,0.9336723698274635,0.7468053236490915,0.9781946763509086
111,0.7594312462864241,0.9327911291611477,0.7455553236490914,0.9769446763509085
112,0.7579192912111008,0.9319076486242811,0.7443053236490914,0.9756946763509086
113,0.7564095612981044,0.931021952374848,0.7430553236490914,0.9744446763509086
114,0.7549020325321516,0.9301340640603573,0.7418053236490915,0.9731946763509086
115,0.7533966814089353,0.9292440068326643,0.7405553236490914,0.9719446763509085
116,0.7518934849201083,0.9283518033622357,0.7393053236490914,0.9706946763509086
117,0.7503924205388607,0.927457475851902,0.7380553236490914,0.9694446763509086
118,0.7488934662060213,0.9265610460500917,0.7368053236490915,0.9681946763509086
119,0.7473966003166794,0.9256625352635945,0.7355553236490914,0.9669446763509085
120,0.7459018017073032,0.9247619643698615,0.7343053236490914,0.9656946763509086
121,0.7444090496433138,0.9238593538288657,0.7330553236490914,0.9644446763509086
122,0.7429183238071264,0.9229547236945483,0.7318053236490915,0.9631946763509086
123,0.741429604286606,0.9220480936258544,0.7305553236490914,0.9619446763509085
124,0.7399428715639554,0.9211394828973911,0.7293053236490914,0.9606946763509085
125,0.7384581065049612,0.9202289104097062,0.7280553236490914,0.9594446763509086
126,0.736975290348658,0.9193163946992315,0.7268053236490915,0.9581946763509086
127,0.7354944046973226,0.9184019539478652,0.7255553236490915,0.9569446763509086
128,0.7340154315068237,0.9174856059922458,0.7243053236490914,0.9556946763509085
129,0.7325383530772972,0.9165673683327096,0.7230553236490914,0.9544446763509086
130,0.7310631520441482,0.9156472581419506,0.7218053236490914,0.9531946763509086
131,0.7295898113693574,0.9147252922733908,0.7205553236490915,0.9519446763509086
132,0.7281183143330513,0.9138014872692727,0.7193053236490914,0.9506946763509085
133,0.726648644525397,0.9128758593685038,0.7180553236490914,0.9494446763509086
134,0.7251807858387246,0.9119484245142221,0.7168053236490914,0.9481946763509086
135,0.7237147224599235,0.911019198361141,0.7155553236490915,0.9469446763509086
136,0.7222504388630991,0.910088196282649,0.7143053236490914,0.9456946763509085
137,0.7207879198024413,0.909155433377679,0.7130553236490914,0.9444446763509086
138,0.7193271503053358,0.9082209244773739,0.7118053236490914,0.9431946763509086
139,0.7178681156656913,0.9072846841515354,0.7105553236490915,0.9419446763509086
140,0.716410801437484,0.9063467267148754,0.7093053236490914,0.9406946763509085
141,0.7149551934284882,0.9054070662330709,0.7080553236490914,0.9394446763509086
142,0.7135012776942206,0.9044657165286404,0.7068053236490914,0.9381946763509086
143,0.7120490405320636,0.9035226911866342,0.7055553236490915,0.9369446763509086
144,0.7105984684755654,0.9025780035601543,0.7043053236490914,0.9356946763509085
145,0.7091495482889159,0.9016316667757127,0.7030553236490914,0.9344446763509086
146,0.7077022669615988,0.9006836937384282,0.7018053236490914,0.9331946763509086
147,0.7062566117031951,0.8997340971370629,0.7005553236490915,0.9319446763509086
148,0.7048125699383423,0.8987828894489176,0.6993053236490914,0.9306946763509085
149,0.70337012930184,0.8978300829445826,0.6980553236490914,0.9294446763509085
150,0.7019292776339255,0.8968756896925527,0.6968053236490914,0.9281946763509086
151,0.7004900029756376,0.8959197215636938,0.6955553236490915,0.9269446763509086
152,0.6990522935643714,0.8949621902356107,0.6943053236490915,0.9256946763509086
153,0.697616137829527,0.894003107196857,0.6930553236490914,0.9244446763509085
154,0.6961815243882805,0.8930424837510476,0.6918053236490914,0.9231946763509086
155,0.694748442041507,0.892080331020854,0.6905553236490914,0.9219446763509086
156,0.693316879769786,0.8911166599518732,0.6893053236490915,0.9206946763509086
157,0.6918868267295329,0.8901514813164049,0.6880553236490914,0.9194446763509085
158,0.6904582722492443,0.8891848057171182,0.6868053236490914,0.9181946763509086
159,0.689031205825842,0.8882166435906151,0.6855553236490914,0.9169446763509086
160,0.6876056171211122,0.8872470052108972,0.6843053236490915,0.9156946763509086
161,0.6861814959582554,0.8862759006927445,0.6830553236490914,0.9144446763509085
162,0.6847588323185216,0.8853033399949951,0.6818053236490914,0.9131946763509086
163,0.6833376163379405,0.8843293329237397,0.6805553236490914,0.9119446763509086
164,0.6819178383041334,0.8833538891354323,0.6793053236490915,0.9106946763509086
165,0.6804994886532285,0.8823770181399198,0.6780553236490914,0.9094446763509085
166,0.6790825579668339,0.8813987293033814,0.6768053236490914,0.9081946763509086
167,0.6776670369691076,0.8804190318512072,0.6755553236490914,0.9069446763509086
168,0.6762529165239044,0.8794379348707895,0.6743053236490915,0.9056946763509086
169,0.6748401876319834,0.8784554473142439,0.6730553236490914,0.9044446763509085
170,0.6734288414283198,0.8774715780010675,0.6718053236490914,0.9031946763509086
171,0.6720188691794315,0.87648633562071,0.6705553236490914,0.9019446763509086
172,0.6706102622808408,0.8754997287351138,0.6693053236490915,0.9006946763509086
173,0.6692030122545563,0.8745117657811483,0.6680553236490914,0.8994446763509085
174,0.6677971107466234,0.8735224550730094,0.6668053236490914,0.8981946763509085
175,0.6663925495247555,0.8725318048045585,0.6655553236490914,0.8969446763509086
176,0.6649893204760137,0.8715398230515896,0.6643053236490915,0.8956946763509086
177,0.6635874156045369,0.8705465177740478,0.6630553236490915,0.8944446763509086
178,0.6621868270293466,0.8695518968181987,0.6618053236490914,0.8931946763509085
179,0.6607875469821909,0.868555967918731,0.6605553236490914,0.8919446763509086
180,0.6593895678054454,0.86755873870082,0.6593053236490914,0.8906946763509086
181,0.6579928819500726,0.8665602166821368,0.6580553236490915,0.8894446763509086
182,0.6565974819736257,0.8655604092748054,0.6568053236490914,0.8881946763509085
183,0.6552033605382928,0.8645593237873151,0.6555553236490914,0.8869446763509086
184,0.6538105104090032,0.8635569674263949,0.6543053236490914,0.8856946763509086
185,0.6524189244515779,0.8625533472988295,0.6530553236490915,0.8844446763509086
186,0.6510285956309044,0.8615484704132371,0.6518053236490914,0.8831946763509085
187,0.6496395170091798,0.8605423436818171,0.6505553236490914,0.8819446763509086
188,0.6482516817441806,0.8595349739220388,0.6493053236490914,0.8806946763509086
189,0.6468650830875827,0.8585263678583029,0.6480553236490915,0.8794446763509086
190,0.6454797143833063,0.8575165321235565,0.6468053236490914,0.8781946763509085
191,0.6440955690659201,0.8565054732608818,0.6455553236490914,0.8769446763509086
192,0.642712640659062,0.8554931977250334,0.6443053236490914,0.8756946763509086
193,0.6413309227739056,0.8544797118839539,0.6430553236490915,0.8744446763509086
194,0.6399504091076689,0.8534650220202501,0.6418053236490914,0.8731946763509085
195,0.6385710934421437,0.8524491343326299,0.6405553236490914,0.8719446763509086
196,0.6371929696422611,0.851432054937316,0.6393053236490914,0.8706946763509086
197,0.6358160316547029,0.8504137898694271,0.6380553236490915,0.8694446763509086
198,0.6344402735065229,0.8493943450843169,0.6368053236490914,0.8681946763509085
199,0.6330656893038187,0.8483737264589,0.6355553236490914,0.8669446763509085
200,0.6316922732304219,0.8473519397929351,0.6343053236490914,0.8656946763509086
201,0.6303200195466155,0.8463289908102859,0.6330553236490915,0.8644446763509086
202,0.6289489225878929,0.8453048851601562,0.6318053236490915,0.8631946763509086
203,0.627578976763728,0.8442796284182915,0.6305553236490914,0.8619446763509085
204,0.626210176556383,0.8432532260881603,0.6293053236490914,0.8606946763509086
205,0.6248425165197381,0.8422256836021089,0.6280553236490914,0.8594446763509086
206,0.6234759912781487,0.8411970063224884,0.6268053236490915,0.8581946763509086
207,0.6221105955253234,0.8401671995427605,0.6255553236490914,0.8569446763509085
208,0.6207463240232312,0.8391362684885783,0.6243053236490914,0.8556946763509086
209,0.6193831716010307,0.8381042183188452,0.6230553236490914,0.8544446763509086
210,0.6180211331540126,0.8370710541267481,0.6218053236490915,0.8531946763509086
211,0.6166602036425878,0.8360367809407777,0.6205553236490914,0.8519446763509085
212,0.6153003780912636,0.8350014037257121,0.6193053236490914,0.8506946763509086
213,0.6139416515876734,0.8339649273835991,0.6180553236490914,0.8494446763509086
214,0.6125840192816144,0.8329273567547024,0.6168053236490915,0.8481946763509086
215,0.6112274763840925,0.8318886966184287,0.6155553236490914,0.8469446763509085
216,0.6098720181664082,0.8308489516942521,0.6143053236490914,0.8456946763509086
217,0.6085176399592488,0.8298081266425994,0.6130553236490914,0.8444446763509086
218,0.607164337151803,0.8287662260657298,0.6118053236490915,0.8431946763509086
219,0.6058121051908891,0.8277232545085906,0.6105553236490914,0.8419446763509085
220,0.6044609395801153,0.8266792164596628,0.6093053236490914,0.8406946763509086
221,0.6031108358790334,0.8256341163517753,0.6080553236490914,0.8394446763509086
222,0.6017617897023313,0.8245879585629223,0.6068053236490915,0.8381946763509086
223,0.6004137967190343,0.8235407474170489,0.6055553236490914,0.8369446763509085
224,0.5990668526517178,0.8224924871848245,0.6043053236490914,0.8356946763509085
225,0.5977209532757367,0.821443182084405,0.6030553236490914,0.8344446763509086
226,0.5963760944184837,0.8203928362821802,0.6018053236490915,0.8331946763509086
227,0.5950322719586429,0.8193414538934963,0.6005553236490915,0.8319446763509086
228,0.593689481825466,0.8182890389833768,0.5993053236490914,0.8306946763509085
229,0.5923477199980719,0.8172355955672245,0.5980553236490914,0.8294446763509086
230,0.5910069825047447,0.8161811276115047,0.5968053236490914,0.8281946763509086
231,0.5896672654222546,0.8151256390344235,0.5955553236490915,0.8269446763509086
232,0.5883285648751931,0.8140691337065877,0.5943053236490914,0.8256946763509085
233,0.5869908770353143,0.8130116154516529,0.5930553236490914,0.8244446763509086
234,0.5856541981208938,0.81195308804696,0.5918053236490914,0.8231946763509086
235,0.5843185243961035,0.810893555224159,0.5905553236490915,0.8219446763509086
236,0.5829838521703837,0.8098330206698189,0.5893053236490914,0.8206946763509085
237,0.5816501777978464,0.8087714880260337,0.5880553236490914,0.8194446763509086
238,0.5803174976766778,0.807708960891005,0.5868053236490914,0.8181946763509086
239,0.5789858082485616,0.8066454428196221,0.5855553236490915,0.8169446763509086
240,0.5776551059980964,0.8055809373240252,0.5843053236490914,0.8156946763509085
241,0.5763253874522386,0.8045154478741678,0.5830553236490914,0.8144446763509086
242,0.5749966491797571,0.8034489778983602,0.5818053236490914,0.8131946763509086
243,0.573668887790688,0.8023815307838016,0.5805553236490915,0.8119446763509086
244,0.5723420999358073,0.801313109877108,0.5793053236490914,0.8106946763509085
245,0.5710162823061076,0.8002437184848281,0.5780553236490914,0.8094446763509086
246,0.5696914316322915,0.7991733598739497,0.5768053236490914,0.8081946763509086
247,0.5683675446842721,0.7981020372723944,0.5755553236490915,0.8069446763509086
248,0.5670446182706718,0.7970297538695051,0.5743053236490914,0.8056946763509085
249,0.5657226492383532,0.7959565128165306,0.5730553236490914,0.8044446763509085
250,0.564401634471933,0.7948823172270858,0.5718053236490914,0.8031946763509086
251,0.5630815708933293,0.7938071701776227,0.5705553236490915,0.8019446763509086
252,0.5617624554612928,0.7927310747078735,0.5693053236490915,0.8006946763509086
253,0.5604442851709662,0.7916540338213053,0.5680553236490914,0.7994446763509085
254,0.5591270570534456,0.79057605048555,0.5668053236490914,0.7981946763509086
255,0.5578107681753429,0.7894971276328334,0.5655553236490914,0.7969446763509086
256,0.5564954156383648,0.7884172681603986,0.5643053236490915,0.7956946763509086
257,0.5551809965788956,0.7873364749309195,0.5630553236490914,0.7944446763509085
258,0.5538675081675904,0.7862547507729045,0.5618053236490914,0.7931946763509086
259,0.5525549476089676,0.7851720984810966,0.5605553236490914,0.7919446763509086
260,0.5512433121410256,0.784088520816866,0.5593053236490915,0.7906946763509086
261,0.5499325990348377,0.7830040205085903,0.5580553236490914,0.7894446763509085
262,0.5486228055941922,0.7819186002520417,0.5568053236490914,0.7881946763509086
263,0.5473139291552062,0.7808322627107463,0.5555553236490914,0.7869446763509086
264,0.5460059670859556,0.7797450105163548,0.5543053236490915,0.7856946763509086
265,0.5446989167861299,0.7786568462690053,0.5530553236490914,0.7844446763509085
266,0.5433927756866616,0.7775677725376618,0.5518053236490914,0.7831946763509086
267,0.5420875412493833,0.7764777918604739,0.5505553236490914,0.7819446763509086
268,0.540783210966696,0.7753869067451113,0.5493053236490915,0.7806946763509086
269,0.5394797823612181,0.774295119669089,0.5480553236490914,0.7794446763509085
270,0.5381772529854629,0.7732024330801095,0.5468053236490914,0.7781946763509086
271,0.5368756204215192,0.7721088493963766,0.5455553236490914,0.7769446763509086
272,0.5355748822807223,0.7710143710069082,0.5443053236490915,0.7756946763509086
273,0.5342750362033478,0.7699190002718581,0.5430553236490914,0.7744446763509085
274,0.532976079858309,0.7688227395228129,0.5418053236490914,0.7731946763509085
275,0.5316780109428386,0.7677255910630906,0.5405553236490914,0.7719446763509086
276,0.5303808271822116,0.766627557168048,0.5393053236490915,0.7706946763509086
277,0.5290845263294451,0.7655286400853547,0.5380553236490915,0.7694446763509086
